Elapsed Time (seconds),Temperature 1 (Celsius),Temperature 2 (Celsius),Temperature 3 (Celsius),Temperature 4 (Celsius),Temperature 5 (Celsius),Temperature 6 (Celsius),
228.582000,26.608806,26.300701,27.317935,26.979000,25.415443,23.460411,
229.117000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
229.652000,26.608806,26.182836,27.433565,26.979000,24.926685,23.460411,
230.187000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
230.721000,26.725755,26.182836,27.202304,26.979000,24.926685,23.460411,
231.256000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
231.790000,26.725755,26.300701,27.317935,26.979000,24.926685,23.949169,
232.325000,26.608806,26.300701,27.433565,26.979000,24.926685,22.971652,
232.859000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
233.394000,26.608806,26.182836,27.433565,26.979000,24.926685,23.460411,
233.928000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
234.464000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
234.998000,26.725755,26.064971,27.317935,26.979000,24.926685,23.460411,
235.533000,26.725755,26.182836,27.317935,26.979000,24.926685,22.971652,
236.067000,26.725755,26.300701,27.317935,26.979000,24.926685,23.460411,
236.602000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
237.136000,26.842706,26.064971,27.317935,26.979000,24.926685,23.460411,
237.671000,26.725755,26.300701,27.317935,26.979000,24.926685,23.460411,
238.205000,26.725755,26.182836,27.202304,26.979000,24.926685,23.949169,
238.740000,26.725755,26.300701,27.317935,26.979000,24.926685,23.460411,
239.275000,26.608806,26.064971,27.317935,26.979000,24.926685,23.460411,
239.809000,26.608806,26.182836,27.433565,26.979000,24.926685,23.460411,
240.345000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
240.879000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
241.414000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
241.948000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
242.483000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
243.017000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
243.552000,26.608806,26.182836,27.317935,26.979000,24.926685,23.949169,
244.086000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
244.621000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
245.155000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
245.690000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
246.225000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
246.760000,26.725755,26.300701,27.433565,26.979000,24.926685,23.460411,
247.294000,26.608806,26.182836,27.433565,26.979000,24.926685,23.949169,
247.829000,26.725755,26.182836,27.433565,26.979000,24.926685,23.460411,
248.364000,26.608806,26.182836,27.317935,26.979000,24.926685,22.971652,
248.898000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
249.433000,26.725755,26.182836,27.317935,26.979000,24.926685,22.971652,
249.967000,26.608806,26.182836,27.317935,26.979000,24.926685,23.460411,
250.502000,26.842706,26.182836,27.433565,26.979000,24.926685,23.949169,
251.036000,26.608806,26.182836,27.317935,26.979000,24.437927,23.460411,
251.572000,26.725755,26.300701,27.317935,26.979000,24.926685,23.460411,
252.106000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
252.641000,26.608806,26.182836,27.433565,26.979000,24.926685,23.949169,
253.175000,26.608806,26.182836,27.433565,26.979000,24.926685,23.460411,
253.710000,26.725755,26.300701,27.202304,26.979000,24.926685,23.949169,
254.244000,26.842706,26.300701,27.317935,26.979000,24.926685,22.971652,
254.779000,26.725755,26.300701,27.317935,26.979000,24.926685,23.949169,
255.313000,26.608806,26.182836,27.202304,26.979000,24.926685,23.949169,
255.848000,26.725755,26.182836,27.433565,26.979000,24.926685,23.460411,
256.382000,26.725755,26.300701,27.433565,26.979000,24.926685,23.949169,
256.917000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
257.453000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
257.987000,26.725755,26.182836,27.317935,26.979000,24.926685,23.949169,
258.522000,26.725755,26.182836,27.317935,26.979000,24.926685,23.460411,
